,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
72,2363.0,337.57142857142856,706,100.85714285714286,1.9615512245328066e-20,6.8698,1.6494143561622854e-12,0.049069814806042555,39.14118326898903
73,6983.0,872.875,683,85.375,1.321770429553448e-17,7.6534,7.325413387111413e-11,0.09693558013237627,33.66829886788378
74,2054.0,513.5,280,70.0,2.711217251182218e-10,5.5739,7.045759597698085e-08,0.06426699152747418,23.758669508382628
75,2806.0,467.6666666666667,877,146.16666666666666,6.479620393419983e-15,6.3734,1.3198254942648713e-08,0.10352960669318861,26.175077568304225
76,1445.0,361.25,374,93.5,4.1814375971234376e-11,5.8776,2.6295710188636937e-08,0.05453150503513759,25.180597297770362
77,2180.0,436.0,460,92.0,1.7361417320109255e-12,6.0592,9.30775536788897e-09,0.07123478817204061,26.678919560536873
78,2184.0,546.0,399,99.75,7.789243522808298e-10,5.6161,1.9078180449976368e-07,0.07587339059296579,22.32157308096937
79,2626.0,875.3333333333334,347,115.66666666666667,4.6260038673730157e-07,5.4998,8.1163212312316e-06,0.09591175669254988,16.910742603498505
80,2883.0,480.5,923,153.83333333333334,3.1493386490912526e-15,6.269,1.5414707352594563e-09,0.07915747100320289,29.273045353770385
81,3958.0,565.4285714285714,148,21.142857142857142,3.671591886117131e-18,7.1579,1.6260791437343813e-12,0.04899218999927946,39.161739661374156
82,1048.0,262.0,184,46.0,2.2328617935533445e-11,5.6978,1.239165326159552e-08,0.048104777338212196,26.266056078223478
83,1375.0,275.0,466,93.2,2.6765498246950956e-13,6.3567,1.1546492750505795e-09,0.05286973764530396,29.689898154712566
84,1307.0,261.4,315,63.0,1.273042266346374e-13,6.1004,1.3374133069183944e-09,0.053991284875071786,29.477907477038823
85,4084.0,680.6666666666666,535,89.16666666666667,7.91293086322446e-14,6.4137,2.3865006269506037e-09,0.08360267894594624,28.642456138589896
86,1042.0,173.66666666666666,336,56.0,4.474515695899464e-18,6.4607,3.29069960841939e-11,0.048939669251833476,34.82281470773425
87,5230.0,871.6666666666666,1296,216.0,7.08211724308789e-13,6.263,3.7710589609179045e-08,0.11804780477972841,24.660455051748762
